管理番号-幹番,管理番号-枝番,体外診薬-承認等番号,体外診薬-販売名,体外診薬-一般的名称,体外診薬-製造販売業者,JLAC検査名称,JLAC11-17,JLAC11-測定物,JLAC11-測定物（名称）,JLAC11-識別,JLAC11-識別（名称）,JLAC11-材料,JLAC11-材料（名称）,JLAC11-測定法,JLAC11-測定法（名称）,JLAC11-結果単位,JLAC11-結果単位（名称）,JLAC11-材料（2）,JLAC11-結果単位（2）,JLAC10-17,JLAC10-分析物,JLAC10-分析物（名称）,JLAC10-識別,JLAC10-識別（名称）,JLAC10-材料,JLAC10-材料（名称）,JLAC10-測定法,JLAC10-測定法（名称）,JLAC10-結果識別,JLAC10-結果識別（名称）,JLAC10-材料（2）,保険-診療行為コード,保険-診療行為名称,保険-点数,備考-体外診薬,備考-JLAC,備考-保険,更新区分,更新日付
10A1006051,2,16100AMZ03365000,エームス尿検査試験紙,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,シーメンスヘルスケア・ダイアグノスティクス株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-051-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,51,化学発色法_エームス尿検査試験紙,7,クラス,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006051,3,16100AMZ03365000,エームス尿検査試験紙,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,シーメンスヘルスケア・ダイアグノスティクス株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-051-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,51,化学発色法_エームス尿検査試験紙,85,mg/dL,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006052,4,16100AMZ03365000,エームス尿検査試験紙,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,シーメンスヘルスケア・ダイアグノスティクス株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-052-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,52,化学発色法（機械読み取り）_エームス尿検査試験紙,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006052,5,16100AMZ03365000,エームス尿検査試験紙,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,シーメンスヘルスケア・ダイアグノスティクス株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-052-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,52,化学発色法（機械読み取り）_エームス尿検査試験紙,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006052,6,16100AMZ03365000,エームス尿検査試験紙,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,シーメンスヘルスケア・ダイアグノスティクス株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-052-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,52,化学発色法（機械読み取り）_エームス尿検査試験紙,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006048,1,16100AMZ04066000,プレテスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-048-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,48,化学発色法_プレテスト,2,定性･判定,,,1A990-0000-001-901-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006048,2,16100AMZ04066000,プレテスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-048-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,48,化学発色法_プレテスト,7,クラス,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006048,3,16100AMZ04066000,プレテスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-048-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,48,化学発色法_プレテスト,85,mg/dL,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006049,4,16100AMZ04066000,プレテスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-049-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,49,化学発色法（機械読み取り）_プレテスト,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006049,5,16100AMZ04066000,プレテスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-049-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,49,化学発色法（機械読み取り）_プレテスト,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006049,6,16100AMZ04066000,プレテスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-049-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,49,化学発色法（機械読み取り）_プレテスト,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006401,1,20300APZ00694000,新ウリエースＢＴ,30181012^一般用総蛋白キット,テルモ株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-401-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,401,化学発色法_新ウリエースＢＴ,2,定性･判定,,,1A990-0000-001-901-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006401,2,20300APZ00694000,新ウリエースＢＴ,30181012^一般用総蛋白キット,テルモ株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-401-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,401,化学発色法_新ウリエースＢＴ,7,クラス,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006401,3,20300APZ00694000,新ウリエースＢＴ,30181012^一般用総蛋白キット,テルモ株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-401-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,401,化学発色法_新ウリエースＢＴ,85,mg/dL,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006046,1,20500AMZ00418000,ZDテープワコー　P,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-046-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,46,化学発色法（機械読み取り）_ZDテープワコー　P,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006046,2,20500AMZ00418000,ZDテープワコー　P,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-046-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,46,化学発色法（機械読み取り）_ZDテープワコー　P,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006046,3,20500AMZ00418000,ZDテープワコー　P,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-046-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,46,化学発色法（機械読み取り）_ZDテープワコー　P,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006029,1,20800AMZ00108000,オーションスティックス,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-判定,A1006-0403-100-029-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,29,化学発色法_オーションスティックス,2,定性･判定,,,1A990-0000-001-901-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006029,2,20800AMZ00108000,オーションスティックス,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-029-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,29,化学発色法_オーションスティックス,7,クラス,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006029,3,20800AMZ00108000,オーションスティックス,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-029-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,29,化学発色法_オーションスティックス,85,mg/dL,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006030,4,20800AMZ00108000,オーションスティックス,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-判定,A1006-0403-100-030-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,30,化学発色法（機械読み取り）_オーションスティックス,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006030,5,20800AMZ00108000,オーションスティックス,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-030-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,30,化学発色法（機械読み取り）_オーションスティックス,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006030,6,20800AMZ00108000,オーションスティックス,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-030-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,30,化学発色法（機械読み取り）_オーションスティックス,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006032,1,20800AMZ00109000,ユリフレットS,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-判定,A1006-0403-100-032-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,32,化学発色法（機械読み取り）_ユリフレットS,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006032,2,20800AMZ00109000,ユリフレットS,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-032-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,32,化学発色法（機械読み取り）_ユリフレットS,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006032,3,20800AMZ00109000,ユリフレットS,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,株式会社アークレイ ファクトリー,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-032-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,32,化学発色法（機械読み取り）_ユリフレットS,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006037,1,21000AMZ00786000,ウロピースＳ,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,東洋濾紙株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-037-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,37,化学発色法_ウロピースＳ,2,定性･判定,,,1A990-0000-001-901-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006037,2,21000AMZ00786000,ウロピースＳ,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,東洋濾紙株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-037-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,37,化学発色法_ウロピースＳ,7,クラス,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006037,3,21000AMZ00786000,ウロピースＳ,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,東洋濾紙株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-037-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,37,化学発色法_ウロピースＳ,85,mg/dL,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006038,4,21000AMZ00786000,ウロピースＳ,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,東洋濾紙株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-038-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,38,化学発色法（機械読み取り）_ウロピースＳ,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006038,5,21000AMZ00786000,ウロピースＳ,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,東洋濾紙株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-038-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,38,化学発色法（機械読み取り）_ウロピースＳ,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006038,6,21000AMZ00786000,ウロピースＳ,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,東洋濾紙株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-038-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,38,化学発色法（機械読み取り）_ウロピースＳ,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006050,1,21200AMZ00630000,ＺＤテストワコー,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-050-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,50,化学発色法（機械読み取り）_ＺＤテストワコー,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006050,2,21200AMZ00630000,ＺＤテストワコー,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-050-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,50,化学発色法（機械読み取り）_ＺＤテストワコー,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006050,3,21200AMZ00630000,ＺＤテストワコー,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,富士フイルム和光純薬株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-050-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,50,化学発色法（機械読み取り）_ＺＤテストワコー,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006016,1,21300AMY00032000,メディテ－プ１０H,30226000^多項目試験紙キット,シスメックス株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-016-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,16,化学発色法（機械読み取り）_メディテ－プ１０H,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006016,2,21300AMY00032000,メディテ－プ１０H,30226000^多項目試験紙キット,シスメックス株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-016-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,16,化学発色法（機械読み取り）_メディテ－プ１０H,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006016,3,21300AMY00032000,メディテ－プ１０H,30226000^多項目試験紙キット,シスメックス株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-016-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,16,化学発色法（機械読み取り）_メディテ－プ１０H,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006017,1,21300AMY00063000,メディテ－プ１０Ｍ,30226000^多項目試験紙キット,シスメックス株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-017-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,17,化学発色法（機械読み取り）_メディテ－プ１０Ｍ,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006017,2,21300AMY00063000,メディテ－プ１０Ｍ,30226000^多項目試験紙キット,シスメックス株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-017-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,17,化学発色法（機械読み取り）_メディテ－プ１０Ｍ,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006017,3,21300AMY00063000,メディテ－プ１０Ｍ,30226000^多項目試験紙キット,シスメックス株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-017-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,17,化学発色法（機械読み取り）_メディテ－プ１０Ｍ,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
